Time (ms),Name,Value
3,"At Target: ","false"
3,"P: ","0.1"
3,"Get Voltage: ","12.35"
3,"Get Current: ","0.0"
3,"D: ","0.0"
3,"RPM","1514.794921875"
3,"RPM Desired value: ","3400.0"
71922,"RPM","0.0"
71923,"Get Voltage: ","12.450000000000001"
71923,"RPM Desired value: ","3000.0"
72022,"Get Voltage: ","12.5"
72123,"Get Voltage: ","12.450000000000001"
72222,"Get Voltage: ","12.450000000000001"
72323,"Get Voltage: ","12.450000000000001"
72423,"Get Voltage: ","12.450000000000001"
72828,"Get Voltage: ","12.450000000000001"
72923,"Get Voltage: ","12.5"
73023,"Get Voltage: ","12.450000000000001"
73124,"Get Voltage: ","12.5"
73223,"Get Voltage: ","12.450000000000001"
73323,"Get Voltage: ","12.450000000000001"
73724,"Get Voltage: ","12.450000000000001"
74023,"Get Voltage: ","12.5"
74124,"Get Voltage: ","12.5"
74224,"Get Voltage: ","12.5"
74324,"Get Voltage: ","12.450000000000001"
74829,"Get Voltage: ","12.450000000000001"
75033,"Get Voltage: ","12.450000000000001"
75136,"Get Voltage: ","12.450000000000001"
75326,"Get Voltage: ","12.450000000000001"
75626,"Get Voltage: ","12.4"
75726,"Get Voltage: ","12.450000000000001"
75826,"Get Voltage: ","12.4"
75926,"Get Voltage: ","12.450000000000001"
76227,"Get Voltage: ","12.450000000000001"
76326,"Get Voltage: ","12.450000000000001"
76627,"Get Voltage: ","12.450000000000001"
76727,"Get Voltage: ","12.450000000000001"
76827,"Get Voltage: ","12.450000000000001"
76927,"Get Voltage: ","12.450000000000001"
77027,"Get Voltage: ","12.5"
77127,"Get Voltage: ","12.450000000000001"
77227,"Get Voltage: ","11.850000000000001"
77227,"Get Current: ","1.375"
77327,"Get Voltage: ","12.200000000000001"
77327,"Get Current: ","1.0"
77427,"Get Current: ","0.0"
77427,"Get Voltage: ","12.15"
77532,"Get Voltage: ","12.15"
77628,"Get Voltage: ","12.200000000000001"
77727,"Get Voltage: ","12.200000000000001"
77827,"Get Voltage: ","12.25"
77927,"Get Voltage: ","12.3"
78028,"Get Voltage: ","12.200000000000001"
78128,"Get Voltage: ","9.3"
78128,"RPM","1.171875"
78128,"Get Current: ","21.5"
78229,"RPM","476.66015624999994"
78229,"Get Voltage: ","9.850000000000001"
78229,"Get Current: ","60.875"
78329,"RPM","1555.078125"
78329,"Get Voltage: ","10.05"
78430,"RPM","2386.81640625"
78430,"Get Voltage: ","10.600000000000001"
78430,"Get Current: ","58.25"
78530,"RPM","2984.47265625"
78530,"Get Voltage: ","11.850000000000001"
78530,"Get Current: ","43.5"
78630,"Get Voltage: ","12.1"
78630,"Get Current: ","1.25"
78630,"RPM","3154.833984375"
78731,"RPM","3046.875"
78731,"Get Current: ","0.0"
78731,"Get Voltage: ","12.05"
78831,"RPM","2908.59375"
78831,"Get Voltage: ","11.9"
78831,"Get Current: ","2.25"
78930,"RPM","2903.759765625"
78930,"Get Voltage: ","11.9"
78930,"Get Current: ","6.625"
79030,"Get Voltage: ","11.95"
79030,"RPM","2946.97265625"
79030,"Get Current: ","5.875"
79130,"RPM","2974.365234375"
79130,"Get Voltage: ","12.0"
79131,"Get Current: ","3.375"
79234,"RPM","2964.111328125"
79235,"Get Voltage: ","12.05"
79235,"Get Current: ","3.125"
79335,"RPM","2950.48828125"
79335,"Get Voltage: ","11.95"
79335,"Get Current: ","3.75"
