Time (ms),Name,Value
124,"RPM Desired value: ","3425.0"
125,"P: ","0.1125"
125,"At Target: ","false"
125,"Get Voltage: ","12.65"
125,"D: ","0.0"
125,"RPM","0.0"
125,"Get Current: ","0.0"
20883,"Get Voltage: ","12.65"
20983,"Get Voltage: ","12.65"
21183,"Get Voltage: ","12.6"
21685,"Get Voltage: ","12.6"
21784,"Get Voltage: ","12.65"
21985,"Get Voltage: ","12.6"
22085,"Get Voltage: ","12.65"
22185,"Get Voltage: ","12.6"
22685,"Get Voltage: ","12.65"
22888,"Get Voltage: ","12.6"
22990,"Get Voltage: ","12.65"
23186,"Get Voltage: ","12.6"
23687,"Get Voltage: ","12.65"
23787,"Get Voltage: ","12.65"
24088,"Get Voltage: ","12.6"
24188,"Get Voltage: ","12.6"
24688,"Get Voltage: ","12.6"
24788,"Get Voltage: ","12.6"
24888,"Get Voltage: ","12.6"
24988,"Get Voltage: ","12.65"
25088,"Get Voltage: ","12.65"
25188,"Get Voltage: ","12.6"
25689,"Get Voltage: ","12.200000000000001"
25788,"Get Voltage: ","12.450000000000001"
25788,"Get Current: ","1.625"
25889,"Get Voltage: ","12.5"
25889,"Get Current: ","0.0"
26189,"Get Voltage: ","12.450000000000001"
26289,"Get Voltage: ","12.5"
26389,"Get Voltage: ","12.4"
26489,"Get Voltage: ","12.450000000000001"
26589,"Get Voltage: ","12.450000000000001"
26689,"Get Voltage: ","12.450000000000001"
26790,"Get Voltage: ","12.450000000000001"
26891,"Get Voltage: ","12.5"
26990,"Get Voltage: ","12.5"
27090,"Get Voltage: ","12.5"
27190,"Get Voltage: ","12.450000000000001"
27290,"Get Voltage: ","12.450000000000001"
27598,"Get Voltage: ","12.450000000000001"
27690,"Get Voltage: ","12.450000000000001"
27890,"Get Voltage: ","12.450000000000001"
27991,"Get Voltage: ","12.5"
28091,"Get Voltage: ","12.5"
28191,"Get Voltage: ","12.450000000000001"
28291,"Get Voltage: ","12.4"
28390,"Get Voltage: ","12.4"
28491,"Get Voltage: ","10.4"
28491,"Get Current: ","16.5"
28491,"RPM","84.521484375"
28591,"RPM","826.904296875"
28591,"Get Voltage: ","10.8"
28591,"Get Current: ","60.875"
28693,"RPM","1954.1015624999998"
28693,"Get Voltage: ","11.0"
28791,"RPM","2783.056640625"
28791,"Get Voltage: ","11.5"
28791,"Get Current: ","58.75"
28892,"RPM","3401.513671875"
28892,"Get Voltage: ","12.1"
28892,"Get Current: ","20.0"
28992,"RPM","3618.3105468749995"
28992,"Get Voltage: ","12.4"
28992,"Get Current: ","1.875"
29092,"RPM","3504.638671875"
29092,"Get Voltage: ","12.3"
29092,"Get Current: ","0.0"
29192,"RPM","3335.302734375"
29192,"Get Voltage: ","12.15"
29192,"Get Current: ","2.25"
29293,"RPM","3333.69140625"
